name,link,lyrics,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
Our Song,https://www.youtube.com/watch?v=Jb2stN7kH28,"I was ridin' shotgun with my hair undone
In the front seat of his car
He's got a one-hand feel on the steering wheel
The other on my heart
I look around, turn the radio down
He says, ""Baby, is something wrong?""
I say, ""Nothing, I was just thinkin' how we don't have a song""
And he says
Our song is the slamming screen door
Sneakin' out late, tapping on your window
When we're on the phone, and you talk real slow
'Cause it's late, and your mama don't know
Our song is the way you laugh
The first date, ""Man, I didn't kiss her, and I should have""
And when I got home, 'fore I said, ""Amen""
Asking God if he could play it again
I was walkin' up the front porch steps after everything that day
Had gone all wrong and been trampled on
And lost and thrown away
Got to the hallway, well on my way to my lovin' bed
I almost didn't notice all the roses
And the note that said
Our song is the slamming screen door
Sneakin' out late, tapping on your window
When we're on the phone, and you talk real slow
'Cause it's late, and your mama don't know
Our song is the way you laugh
The first date, ""Man, I didn't kiss her and I should have""
And when I got home, 'fore I said, ""Amen""
Asking God if he could play it again
I've heard every album, listened to the radio
Waited for something to come along
That was as good as our song
'Cause our song is the slamming screen door
Sneakin' out late, tapping on his window
When we're on the phone, and he talks real slow
'Cause it's late, and his mama don't know
Our song is the way he laughs
The first date, ""Man, I didn't kiss him, and I should have""
And when I got home, 'fore I said, ""Amen""
Askin' God if he could play it again, play it again
Oh, yeah
Oh, oh yeah
I was ridin' shotgun with my hair undone
In the front seat of his car
I grabbed a pen and an old napkin
And I wrote down our song",Taylor Swift,Taylor Swift,2006-10-24,201106,54,0.668,0.111,0.672,0,0.329,-4.931,0.0303,0.539,89.011
I'm Only Me When I'm With You,https://www.youtube.com/watch?v=AlTfYj7q5gQ,"Friday night beneath the stars
In a field behind your yard
You and I are painting pictures in the sky
And sometimes we don't say a thing
Just listen to the crickets sing
Everything I need is right here by my side
And I know everything about you
I don't wanna live without you
I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half I'm only trying to
Let you know that what I feel is true
And I'm only me when I'm with you
Just a small town boy and girl
Living in a crazy world
Tryin' to figure out what is and isn't true
And I don't try to hide my tears
The secrets, or my deepest fears
Through it all nobody gets me like you do
And you know everything about me
You say that you can't live without me
I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half I'm only trying to
Let you know that what I feel is true
And I'm only me when I'm with you
When I'm with anybody else
It's so hard to be myself
Only you can tell
That I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half I'm only trying to
Let you know that what I feel is true
And I'm only me, who I wanna be
Well, I'm only me when I'm with you
With you, oh yeah",Taylor Swift,Taylor Swift,2006-10-24,213053,50,0.563,0.00452,0.934,0.000807,0.103,-3.629,0.0646,0.518,143.964
Invisible,https://www.youtube.com/watch?v=IiWI7qG8Jpc,"She can't see the way your eyes
Light up when you smile
She'll never notice how you stop and stare
Whenever she walks by
And you can't see me wantin' you the way you want her
But you are everything to me
And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me but if you only knew me
We could be a beautiful, miracle, unbelievable
Instead of just invisible
There's a fire inside of you
That can't help but shine through
She's never gonna see the light
No matter what you do
And all I think about is how to make you think of me
And everything that we could be
And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me but if you only knew me
We could be a beautiful, miracle, unbelievable
Instead of just invisible
Like shadows in a faded light
Oh we're invisible
I just wanna open your eyes
And make you realize
I just want to show you, she don't even know you,
Baby let me love you, let me want you"".
She can't see the way your eyes
Light up when you smile",Taylor Swift,Taylor Swift,2006-10-24,203226,48,0.612,0.637,0.394,0,0.147,-5.723,0.0243,0.233,96.001
A Perfectly Good Heart,https://www.youtube.com/watch?v=PYcZpb-0x3I,"Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break a perfectly good heart
Maybe I should've seen the signs, should've read the writing on the wall
And realized by the distance in your eyes that I would be the one to fall
No matter what you say I still can't believe
That you would walk away
It don't make sense to me but
Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break a perfectly good heart
It's not unbroken anymore
How do I get it back the way it was before
Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break, would you wanna break a
Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break a perfectly good heart",Taylor Swift,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.751,0,0.128,-5.726,0.0365,0.268,156.092
Teardrops on My Guitar - Pop Version,https://www.youtube.com/watch?v=19vALtcZKxg,"Drew looks at me
I fake a smile so he won't see
That I want and I'm needing
Everything that we should be
I'll bet she's beautiful
That girl he talks about
And she's got everything that I have to live without
[Verse 2]
Drew talks to me
I laugh 'cause it's just so funny
That I can't even see
Anyone when he's with me
He says he's so in love
He's finally got it right
I wonder if he knows he's all I think about at night
He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car I keep singing
Don't know why I do
Drew walks by me
Can he tell that I can't breathe?
And there he goes, so perfectly
The kind of flawless I wish I could be
She'd better hold him tight
Give him all her love
Look in those beautiful eyes and know she's lucky 'cause
[Chorus]
He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car I keep singing
Don't know why I do
So I drive home alone
As I turn off the light
I'll put his picture down and maybe get some sleep tonight
'Cause he's the reason for the teardrops on my guitar
The only one who’s got enough for me to break my heart
He's the song in the car I keep singing
Don't know why I do (Why I do)
He's the time taken up, but there's never enough
And he's all that I need to fall into
Drew looks at me
I fake a smile so he won't see",Taylor Swift,Taylor Swift,2006-10-24,179066,48,0.459,0.0402,0.753,0,0.0863,-3.827,0.0537,0.483,199.997
Mine - POP Mix,https://www.youtube.com/watch?v=mNeSFfgA698,"You were in college working part time waiting tables
Left a small town, never looked back
I was a flight risk with a fear of falling
Wondering why we bother with love if it never lasts
I say can you believe it?
As we're lying on the couch
The moment I could see it
Yes, yes, I can see it now
Do you remember we were sitting there by the water?
You put your arm around me for the first time
You made a rebel of a careless man's careful daughter
You are the best thing that's ever been mine
Flash forward and we're taking on the world together
And there's a drawer of my things at your place
You learn my secrets and you figure out why I'm guarded
You say we'll never make my parents' mistakes
But we got bills to pay
We got nothing figured out
When it was hard to take
Yes, yes, this is what I thought about
Do you remember we were sitting there by the water?
You put your arm around me for the first time
You made a rebel of a careless man's careful daughter
You are the best thing that's ever been mine
Do you remember all the city lights on the water?
You saw me start to believe for the first time
You made a rebel of a careless man's careful daughter
You are the best thing that's ever been mine
And I remember that fight, 2:30 a.m.
As everything was slipping right out of our hands
I ran out crying and you followed me out into the street
Braced myself for the goodbye
'Cause that's all I've ever known
Then you took me by surprise
You said I'll never leave you alone
You said I remember how we felt sitting by the water",Speak Now (Deluxe Package),Taylor Swift,2010-01-01,230546,45,0.696,0.00461,0.768,1.21E-06,0.101,-3.863,0.0308,0.692,121.05
Sparks Fly,https://www.youtube.com/watch?v=oKar-tF__ac,"The way you move is like a full on rainstorm
And I'm a house of cards
You're the kind of reckless that should send me running
But I kinda know that I won't get far
And you stood there in front of me just
Close enough to touch
Close enough to hope you couldn't see
What I was thinking of
Drop everything now
Meet me in the pouring rain
Kiss me on the sidewalk
Take away the pain
'Cause I see sparks fly, whenever you smile
Get me with those green eyes, baby
As the lights go down
Gimme something that'll haunt me when you're not around
'Cause I see sparks fly, whenever you smile
My mind forgets to remind me you're a bad idea
You touch me once and it's really something
You find I'm even better than you imagined I would be
I'm on my guard for the rest of the world
But with you, I know it's no good
And I could wait patiently
But I really wish you would
Drop everything now
Meet me in the pouring rain
Kiss me on the sidewalk
Take away the pain
'Cause I see sparks fly, whenever you smile
Get me with those green eyes, baby
As the lights go down
Gimme something that'll haunt me when you're not around
'Cause I see sparks fly, whenever you smile
I run my fingers through your hair
And watch the lights go wild
Just keep on keeping your eyes on me
It's just wrong enough to make it feel right
And lead me up the staircase
Won't you whisper soft and slow
I'm captivated by you, baby
Like a fireworks show
Drop everything now
Meet me in the pouring rain
Kiss me on the sidewalk
Take away the pain
'Cause I see sparks fly whenever you smile
Get me with those green eyes, baby
As the lights go down
Gimme something that'll haunt me when you're not around
'Cause I see sparks fly, whenever you smile
And the sparks fly, oh, baby, smile
And the sparks fly",Speak Now (Deluxe Package),Taylor Swift,2010-01-01,260946,50,0.608,0.0387,0.785,0,0.158,-2.976,0.0311,0.376,114.985
Back To December,https://www.youtube.com/watch?v=QUwxKWT6m7U,"I'm so glad you made time to see me
How's life? Tell me, how's your family?
I haven't seen them in a while
You've been good, busier than ever
We small talk, work and the weather
Your guard is up and I know why
Because the last time you saw me
Is still burned in the back of your mind
You gave me roses and I left them there to die
So this is me swallowin' my pride
Standin' in front of you sayin' I'm sorry for that night
And I go back to December all the time
It turns out freedom ain't nothin' but missin' you
Wishin' I'd realized what I had when you were mine
I'd go back to December, turn around and make it alright
I go back to December all the time
These days, I haven't been sleepin'
Stayin' up playin' back myself leavin'
When your birthday passed and I didn't call
Then I think about summer, all the beautiful times
I watched you laughin' from the passenger's side
And realized I loved you in the fall
And then the cold came, the dark days
When fear crept into my mind
You gave me all your love and all I gave you was goodbye
So this is me swallowin' my pride
Standin' in front of you sayin' I'm sorry for that night
And I go back to December all the time
It turns out freedom ain't nothin' but missin' you
Wishin' I'd realized what I had when you were mine
I'd go back to December, turn around and change my own mind
I go back to December all the time
I miss your tan skin, your sweet smile
So good to me, so right
And how you held me in your arms that September night
The first time you ever saw me cry
Maybe this is wishful thinkin'
Probably mindless dreamin'
But if we loved again, I swear I'd love you right
I'd go back in time and change it, but I can't
So if the chain is on your door, I understand
But this is me swallowin' my pride
Standin' in front of you sayin' I'm sorry for that night
And I go back to December
It turns out freedom ain't nothin' but missin' you
Wishin' I'd realized what I had when you were mine
I'd go back to December, turn around and make it alright
I'd go back to December, turn around and change my own mind
I go back to December all the time
All the time",Speak Now (Deluxe Package),Taylor Swift,2010-01-01,293040,50,0.517,0.0202,0.606,0,0.324,-5.797,0.0289,0.296,141.929
Speak Now,https://www.youtube.com/watch?v=MUXyRvTCNuU,"I am not the kind of girl
Who should be rudely barging in on a white veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl
I sneak in and see your friends
And her snotty little family all dressed in pastel
And she is yelling at a bridesmaid
Somewhere back inside a room
Wearing a gown shaped like a pastry
This is surely not what you thought it would be
I lose myself in a daydream
Where I stand and say
Don't say yes, run away now
I'll meet you when you're out of the church at the back door
Don't wait, or say a single vow
You need to hear me out
And they said, ""Speak now""
Fond gestures are exchanged
And the organ starts to play
A song that sounds like a death march
And I am hiding in the curtains
It seems that I was uninvited by your lovely bride-to-be
She floats down the aisle like a pageant queen
But I know you wish it was me
You wish it was me
Don't you?
Don't say yes, run away now
I'll meet you when you're out of the church at the back door
Don't wait, or say a single vow
You need to hear me out
And they said, ""Speak now""
Don't say yes, run away now
I'll meet you when you're out of the church at the back door
Don't wait, or say a single vow
Your time is running out
And they said, ""Speak now""
I hear the preacher say, ""Speak now or forever hold your peace""
There's the silence, there's my last chance
I stand up with shaky hands, all eyes on me
Horrified looks from everyone in the room
But I'm only looking at you
I am not the kind of girl
Who should be rudely barging in on a white veil occasion
But you are not the kind of boy
Who should be marrying the wrong girl
So don't say yes, run away now
I'll meet you when you're out of the church at the back door
Don't wait, or say a single vow
You need to hear me out
And they said, ""Speak now""
And you'll say, ""Let's run away now""
I'll meet you when I'm out of my tux at the back door
Baby, I didn't say my vows
So glad you were around
When they said, ""Speak now""",Speak Now (Deluxe Package),Taylor Swift,2010-01-01,240773,49,0.708,0.101,0.601,0,0.0979,-3.75,0.0306,0.742,118.962
Dear John,https://www.youtube.com/watch?v=2tq1m0vU-m4,"Long were the nights when my days once revolved around you
Counting my footsteps
Praying the floor won't fall through, again
My mother accused me of losing my mind
But I swore I was fine, you paint me a blue sky
And go back and turn it to rain
And I lived in your chess game
But you changed the rules every day
Wondering which version of you I might get on the phone
Tonight, well I stopped picking up, and this song is to let you know why
Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress, cried the whole way home, I should've known
Well maybe it's me and my blind optimism to blame
Maybe it's you and your sick need to give love then take it away
And you'll add my name to your long list of traitors who don't understand
And I'll look back and regret how I ignored when they said ""run as fast as you can""
Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress, cried the whole way home
Dear John, I see it all, now it was wrong
Don't you think nineteen is too young
To be played by your dark twisted games, when I loved you so?
I should've known
You are an expert at sorry
And keeping the lines blurry
Never impressed by me acing your tests
All the girls that you've run dry
Have tired, lifeless eyes
'Cause you burned them out
But I took your matches before fire could catch me
So don't look now, I'm shining like fireworks over your sad, empty town
Dear John, I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress, cried the whole way home
I see it all now that you're gone
Don't you think I was too young to be messed with?
The girl in the dress wrote you a song
You should've known, you should've known
Don't you think I was too young? You should've known",Speak Now (Deluxe Package),Taylor Swift,2010-01-01,403887,48,0.583,0.183,0.468,1.65E-06,0.111,-5.378,0.0278,0.126,119.375
Mean,https://www.youtube.com/watch?v=jYa1eI1hpDE,"You
With your words like knives and swords and weapons
That you use againt me
You
Will knock me of my feet again
Got me feeling like a nothing
You
With your voice like nails on a chalkboard
Calling me out when i'am wounded
You
Picking on the weaker man
Well you can take me down
With just one single blow
But you dont know what you dont know
Someday i'll be living in a big old city
And all you're ever gonna be is mean
Someday i'll be big enough so you cant hit me
And all you're ever gonna be is mean
Why you gotta be so mean?
You
With your switching sides
And your walk by lies
And your humiliation
You
Are pointing out my flaws again
As if i dont already see them
I'll walk with my head down
Trying to block you out
Cause i'll never impress you
I just wanna feel okay again
I bet you got pushed around
Somebody made you cold
But the cycle ends right now
Cause you cant lead me down that road
And you dont know what you dont know
Someday i'll be living in a big old city
And all you're ever gonna be is mean
Someday i'll be big enough so you can't hit me
And all you're are ever gonna be is mean
Why you gotta be so mean?
And i can see you years from now in a bar
Talking over a football game
With that same big mouth opinion
But nobody is listening
Washed up and ranting about
The same old bitter things
Drunk and grumbling on about
How i cant sing
But all you are is mean
All you are is mean
And a liar
And pathetic
And alone in life
And mean
And mean
And mean
And mean
But someday i'll be living in a big old city
And all you're ever gonna be is mean
Yeah
Someday i'll be big enough so you cant hit me
And all you're ever gonna be is mean
Why you gotta be so mean someday
I'll be living in a big old city
And all you're ever gonna be is mean
Why you gotta be so mean someday
I'll be big enough so you cant hit me
And all youre ever gonna be is mean
Why you gotta be so mean?",Speak Now (Deluxe Package),Taylor Swift,2010-01-01,237746,48,0.57,0.445,0.747,0,0.219,-3.978,0.0426,0.808,164.004
